9.00000 2.64842 3.57020 5.82344 6.54320 6.59600 6.61760 6.35000
9.21429 3.27630 4.09011 6.07943 6.75774 6.77943 6.78830 6.58500
9.42857 3.88126 4.58514 6.30572 6.95914 6.96857 6.97243 6.81000
9.64286 4.46314 5.05933 6.51668 7.13031 7.17086 7.18744 7.03500
9.85714 5.02174 5.51672 6.72667 7.35497 7.38986 7.40413 7.26000
10.07143 5.55645 5.95687 6.93568 7.60431 7.61657 7.62159 7.46643
10.28571 6.06663 6.37932 7.14368 7.83920 7.84957 7.85381 7.63571
10.50000 6.55165 6.78361 7.35064 8.05700 8.09000 8.10350 7.80500
10.71429 7.01088 7.16929 7.55653 8.27480 8.33043 8.35319 7.97429
10.92857 7.44369 7.53591 7.76134 8.49260 8.57086 8.60287 8.14357
11.14286 7.84945 7.88301 7.96503 8.71040 8.81129 8.85256 8.36000
11.35714 8.16693 8.18434 8.22689 8.92820 9.05171 9.10224 8.60000
11.57143 8.36672 8.42721 8.57507 9.14600 9.29214 9.35193 8.84000
11.78571 8.56297 8.63471 8.81009 9.36380 9.53257 9.60161 9.08000
12.00000 8.75720 8.82200 8.98040 9.58160 9.77300 9.85130 9.32000
